Year End,Built-up,Kharif Crop,Rabi Crop,Zaid Crop,Double/Triple/Annual Crop,Current Fallow,Plantation/Orchard,Deciduous woodland,Degraded woodland,Grassland,Wasteland,Waterbodies max spread,Waterbodies min spread,Total
2025,0.84,0.04,0.14,,0.19,0.05,0.04,0.08,0.06,,,0.02,0.01,1.48
2024,0.83,0.06,0.14,0,0.19,0.06,0.05,0.07,0.06,0,0.01,0.01,0.02,1.48
2023,0.83,0.02,0.23,,0.14,0.05,0.05,0.07,0.06,,0.01,0.03,,1.48
2022,0.74,0.04,0.2,,0.16,0.06,0.07,0.09,0.07,0.01,0.01,0.03,,1.48
2021,0.74,0.09,0.11,,0.22,0.05,0.07,0.09,0.07,0.01,0.01,0.03,,1.48
2020,,,,,,,,,,,,,,
2019,0.72,0.04,0.23,,0.08,0.12,0.07,0.09,0.07,0.01,0.01,0.03,,1.48
2018,0.72,0.06,0.18,,0.16,0.09,0.07,0.09,0.07,0.01,0.01,0.03,0.01,1.48
2017,0.72,0.08,0.12,,0.18,0.1,0.07,0.09,0.07,0.01,0.01,0.03,,1.48
2016,0.72,0.06,0.18,,0.14,0.1,0.07,0.09,0.07,0.01,0.01,0.03,,1.48
2015,0.71,0.03,0.18,0.01,0.2,0.06,0.07,0.09,0.07,0.01,0.01,0.03,0.01,1.48
2014,0.71,0.15,0.26,,,0.07,0.07,0.09,0.07,0.01,0.01,0.03,,1.48
2013,0.71,0.03,0.14,,0.24,0.08,0.07,0.09,0.07,0.01,0.01,0.03,0.01,1.48
2012,0.71,0.04,0.15,,0.2,0.1,0.07,0.09,0.07,0.01,0.01,0.03,,1.48
2011,0.71,0.02,0.01,,0.39,0.07,0.07,0.09,0.07,0.01,0.01,0.03,,1.48
2010,0.71,0.03,0.04,,0.34,0.08,0.07,0.09,0.07,0.01,0.01,0.03,,1.48
2009,0.7,0.05,0.02,,0.32,0.09,0.07,0.09,0.07,0.01,0.02,0.03,,1.48
2008,0.7,0.02,0.07,,0.33,0.07,0.07,0.09,0.07,0.01,0.03,0.03,,1.48
2007,0.7,0.04,0.11,0.01,0.23,0.1,0.07,0.09,0.07,0.01,0.03,0.03,,1.48
2006,0.7,0.15,0.1,,0.13,0.11,0.07,0.09,0.07,0.01,0.03,0.03,,1.48
