Year,Delhi_Pop_Actual,India_Total_Pop
1950,1369000,342592267
1951,1461000,349965375
1952,1536000,357774738
1953,1613000,365975067
1954,1695000,374234080
1955,1782000,383140196
1956,1872000,392261577
1957,1967000,401716229
1958,2067000,410791546
1959,2172000,420763337
1960,2283000,430798000
1961,2394000,441182676
1962,2499000,451946781
1963,2610000,462619398
1964,2725000,473657752
1965,2845000,484801444
1966,2971000,495478848
1967,3102000,506001646
1968,3239000,517211097
1969,3381000,528222680
1970,3531000,539538407
1971,3689000,552190129
1972,3864000,564002646
1973,4046000,576961637
1974,4236000,589969558
1975,4436000,604113224
1976,4646000,618505846
1977,4865000,633217920
1978,5095000,648384286
1979,5335000,663072172
1980,5587000,679239321
1981,5862000,695468730
1982,6177000,711923769
1983,6508000,728703177
1984,6858000,746042184
1985,7226000,763708714
1986,7614000,781586872
1987,8022000,799793084
1988,8453000,818069456
1989,8906000,836616524
1990,9384000,855462534
1991,9885000,874481909
1992,10406000,893373292
1993,10954000,912540848
1994,11531000,931695926
1995,12138000,950631609
1996,12779000,969970478
1997,13451000,989386439
1998,14160000,1008881084
1999,14906000,1028449076
2000,15692000,1048002570
2001,16414000,1067842896
2002,16956000,1087954254
2003,17516000,1107246507
2004,18095000,1126359505
2005,18691000,1145623522
2006,19309000,1163729122
2007,19946000,1182028657
2008,20606000,1199323384
2009,21285000,1216538543
2010,21988000,1234510963
2011,22714000,1252452165
2012,23464000,1269997744
2013,24239000,1287351261
2014,25039000,1304307760
2015,25866000,1320246623
2016,26720000,1335802372
2017,27602000,1352086220
2018,28514000,1367228580
2019,29399000,1382089548
2020,30291000,1395971076
2021,31181000,1409264315
2022,32066000,1419143477
2023,32941000,1431702948
2024,,1444436244
2025,,1457435338
2026,,1470295711
2027,,1482955442
2028,,1495373906
2029,,1507491573
2030,,1519355889
2031,,1530921800
2032,,1542159403
2033,,1553054846
2034,,1563593314
2035,,1573783392
2036,,1583606199
2037,,1593044519
2038,,1602029495
2039,,1610571802
2040,,1618706679
2041,,1626453399
2042,,1633785338
2043,,1640685377
2044,,1647145162
2045,,1653228062
2046,,1658907103
2047,,1664189680
2048,,1669066613
2049,,1673552839
2050,,1677686950
2051,,1681491568
2052,,1684950203
2053,,1688065580
2054,,1690865297
2055,,1693271247
2056,,1695385243
2057,,1697168441
2058,,1698670696
2059,,1699839978
2060,,1700692021
2061,,1701211407
2062,,1701356007
2063,,1701190414
2064,,1700709310
2065,,1699891111
2066,,1698703342
2067,,1697235654
2068,,1695396654
2069,,1693194505
2070,,1690648399
2071,,1687756680
2072,,1684558620
2073,,1681015030
2074,,1677196183
2075,,1673077752
2076,,1668642863
2077,,1663956990
2078,,1659012871
2079,,1653820248
2080,,1648382324
2081,,1642715197
2082,,1636841163
2083,,1630794319
2084,,1624544623
2085,,1618143412
2086,,1611544446
2087,,1604802766
2088,,1597979197
2089,,1591006924
2090,,1583911433
2091,,1576698760
2092,,1569408343
2093,,1562083555
2094,,1554637205
2095,,1547138659
2096,,1539587805
2097,,1532021324
2098,,1524421638
2099,,1516758642
2100,,1509106631
